epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8473,1.6407,3.1087,2.95599,1.44908,0,0.58339,0.31,0.35567,0.15817,0.63985,0.34,0.43813,0.24736,1.59145,2.56335,3.04993,1.39825,0,0.000647059,0.000647059,0.000647059
2,19.5092,1.59718,2.35643,1.9798,1.44619,0,0.36451,0.12,0.19222,0.08689,0.36451,0.12,0.17781,0.08384,1.53462,3.05017,2.93984,1.52655,0,0.00130072,0.00130072,0.00130072
3,29.1295,1.57401,2.27887,1.71498,1.44539,0,0.42281,0.45,0.412,0.18314,0.43221,0.46,0.4171,0.21808,1.79363,4.0353,2.174,1.86878,0,0.00194118,0.00194118,0.00194118
4,39.2672,1.55734,2.27225,1.67127,1.4409,0,0.66543,0.51714,0.57026,0.33706,0.63685,0.54,0.57739,0.33812,1.60587,3.63106,1.87459,1.65089,0,0.0019406,0.0019406,0.0019406
5,47.4221,1.4703,2.1543,1.52317,1.39804,0,0.69242,0.68,0.69075,0.4135,0.68818,0.65,0.66382,0.3911,1.48564,2.88774,1.97012,1.56446,0,0.0019208,0.0019208,0.0019208
6,57.6178,1.47523,2.1647,1.42198,1.3797,0,0.79501,0.68,0.72688,0.42525,0.76785,0.7,0.72033,0.42637,1.54811,2.34067,1.78062,1.56734,0,0.001901,0.001901,0.001901
7,67.7944,1.43925,2.04882,1.39689,1.37085,0,0.69685,0.66663,0.68814,0.39662,0.68681,0.65791,0.66982,0.41543,1.42089,2.43034,2.45592,1.35755,0,0.0018812,0.0018812,0.0018812
8,76.31,1.40811,2.06792,1.30276,1.31723,0,0.85321,0.68,0.7725,0.47482,0.85321,0.68,0.75935,0.48025,1.32822,2.21688,1.36819,1.30716,0,0.0018614,0.0018614,0.0018614
9,86.457,1.37307,1.97445,1.25112,1.31395,0,0.90084,0.71,0.79473,0.47462,0.88649,0.7,0.77862,0.47853,1.4108,2.13132,1.24966,1.39287,0,0.0018416,0.0018416,0.0018416
10,96.0474,1.39077,1.97066,1.25429,1.31008,0,0.39037,0.55069,0.35517,0.20143,0.39037,0.55069,0.35303,0.19663,1.47124,2.12614,1.72365,1.39741,0,0.0018218,0.0018218,0.0018218
11,104.639,1.33891,2.05022,1.20539,1.28716,0,0.83523,0.75,0.81436,0.53154,0.83523,0.75,0.79724,0.48195,1.30487,2.37554,1.17812,1.28131,0,0.001802,0.001802,0.001802
12,114.731,1.29625,1.98002,1.16793,1.29254,0,0.75595,0.74,0.78079,0.49578,0.73629,0.73,0.76583,0.46062,1.32777,2.59096,1.20778,1.33265,0,0.0017822,0.0017822,0.0017822
13,123.275,1.28647,1.93222,1.16208,1.26359,0,0.81417,0.39436,0.44063,0.28524,0.83105,0.39,0.4203,0.26204,2.04622,12.3065,2.20574,1.70261,0,0.0017624,0.0017624,0.0017624
14,132.777,1.23778,1.91744,1.09402,1.2437,0,0.75762,0.75016,0.80839,0.49906,0.76913,0.76,0.79818,0.48567,1.37096,2.3047,1.18809,1.31548,0,0.0017426,0.0017426,0.0017426
15,142.744,1.27001,1.91625,1.05175,1.25269,0,0.7681,0.7287,0.79855,0.51037,0.77864,0.7387,0.81196,0.48379,1.36378,2.04533,1.12106,1.34435,0,0.0017228,0.0017228,0.0017228
16,150.743,1.26746,1.83657,1.05622,1.2544,0,0.85209,0.74893,0.78455,0.49621,0.8291,0.73,0.7672,0.45627,1.3117,2.11339,1.15259,1.29679,0,0.001703,0.001703,0.001703
17,160.677,1.24493,1.83239,1.05983,1.23095,0,0.81146,0.76,0.82829,0.52504,0.81146,0.76,0.8252,0.5363,1.25244,1.93812,1.06215,1.25556,0,0.0016832,0.0016832,0.0016832
18,170.321,1.20859,1.85787,1.00747,1.22018,0,0.76648,0.72213,0.81921,0.5402,0.73324,0.74216,0.81507,0.49581,1.24445,1.96777,1.04458,1.25574,0,0.0016634,0.0016634,0.0016634
19,178.631,1.20304,1.80909,1.00075,1.21906,0,0.87181,0.74814,0.83597,0.55054,0.84008,0.76,0.82626,0.52128,1.24994,1.90201,1.01816,1.23913,0,0.0016436,0.0016436,0.0016436
20,188.872,1.20261,1.78483,0.95057,1.2037,0,0.83099,0.81,0.83147,0.54365,0.82073,0.8,0.82166,0.53317,1.25532,1.89968,1.07723,1.27422,0,0.0016238,0.0016238,0.0016238
21,197.572,1.20353,1.75504,0.97129,1.20402,0,0.83465,0.7067,0.81684,0.53038,0.85857,0.72849,0.82722,0.53956,1.28828,1.8422,1.03008,1.2407,0,0.001604,0.001604,0.001604
22,206.721,1.17957,1.75681,0.92051,1.201,0,0.8467,0.8,0.871,0.56418,0.8467,0.8,0.86987,0.53128,1.25779,1.88196,0.94254,1.27176,0,0.0015842,0.0015842,0.0015842
23,216.652,1.12142,1.71393,0.91884,1.16827,0,0.82464,0.77,0.84432,0.53041,0.84564,0.77,0.82627,0.52094,1.31123,2.06145,1.02626,1.27258,0,0.0015644,0.0015644,0.0015644
24,224.681,1.14656,1.72202,0.90294,1.17502,0,0.83922,0.78298,0.84808,0.54887,0.83922,0.78298,0.84653,0.51893,1.20009,1.87964,0.93036,1.22906,0,0.0015446,0.0015446,0.0015446
25,234.611,1.13432,1.67011,0.89446,1.18558,0,0.83957,0.78,0.84058,0.53871,0.83957,0.78,0.83642,0.53795,1.26467,1.90973,0.99413,1.29279,0,0.0015248,0.0015248,0.0015248
26,244.42,1.11598,1.71996,0.87524,1.15895,0,0.83971,0.83819,0.871,0.54914,0.87199,0.75,0.83836,0.53148,1.2755,2.00726,0.94679,1.2324,0,0.001505,0.001505,0.001505
27,252.603,1.13201,1.6973,0.87025,1.15596,0,0.8935,0.68,0.83368,0.5252,0.8935,0.68,0.83247,0.53543,1.35311,1.96627,1.0269,1.28706,0,0.0014852,0.0014852,0.0014852
28,262.61,1.09721,1.66869,0.84817,1.14292,0,0.79953,0.8,0.84485,0.55516,0.79953,0.8,0.84422,0.54303,1.2268,1.9012,0.96635,1.23428,0,0.0014654,0.0014654,0.0014654
29,271.658,1.13477,1.67927,0.86984,1.18275,0,0.86766,0.78677,0.85791,0.56853,0.84566,0.7671,0.83805,0.527,1.26632,1.96814,0.96812,1.27438,0,0.0014456,0.0014456,0.0014456
30,280.667,1.07843,1.65445,0.82357,1.12976,0,0.89697,0.78353,0.87137,0.58073,0.89697,0.78353,0.85999,0.52816,1.19109,2.0568,0.90505,1.22765,0,0.0014258,0.0014258,0.0014258
31,290.803,1.08106,1.65177,0.81334,1.13508,0,0.79084,0.82,0.83134,0.54665,0.79084,0.82,0.83578,0.52116,1.25217,1.97294,1.0175,1.2245,0,0.001406,0.001406,0.001406
32,299.094,1.03647,1.68514,0.82199,1.114,0,0.84002,0.82,0.85782,0.56146,0.82978,0.81,0.84751,0.54141,1.24859,1.92426,0.90354,1.27042,0,0.0013862,0.0013862,0.0013862
33,308.931,1.03347,1.59218,0.77461,1.11852,0,0.90983,0.77,0.88448,0.57524,0.90983,0.77,0.88336,0.54263,1.26135,2.00167,0.88195,1.2208,0,0.0013664,0.0013664,0.0013664
34,319.143,1.06681,1.66114,0.78889,1.12589,0,0.83805,0.82799,0.86984,0.56883,0.81836,0.81099,0.85233,0.53495,1.17305,1.90434,0.93349,1.18954,0,0.0013466,0.0013466,0.0013466
35,327.196,1.04328,1.60118,0.77162,1.13477,0,0.82927,0.82,0.88006,0.56934,0.82927,0.82,0.87381,0.53885,1.19857,1.97043,0.87656,1.21013,0,0.0013268,0.0013268,0.0013268
36,337.045,1.05123,1.59772,0.76547,1.10436,0,0.82959,0.8276,0.86848,0.55219,0.81956,0.8176,0.8677,0.56189,1.29385,1.88787,0.90861,1.24461,0,0.001307,0.001307,0.001307
37,347.061,1.03139,1.64028,0.75098,1.11581,0,0.87367,0.79,0.866,0.55965,0.87367,0.79,0.86415,0.54501,1.18896,1.83166,0.8747,1.17157,0,0.0012872,0.0012872,0.0012872
38,355.089,1.06066,1.56313,0.76071,1.12442,0,0.87478,0.83832,0.86313,0.54873,0.86434,0.82832,0.85451,0.54926,1.21497,1.91671,0.89088,1.19472,0,0.0012674,0.0012674,0.0012674
39,364.96,1.00131,1.53413,0.7305,1.09845,0,0.83393,0.82,0.86439,0.58649,0.84492,0.83,0.86542,0.54593,1.20487,1.91982,0.91033,1.22642,0,0.0012476,0.0012476,0.0012476
40,374.003,1.05449,1.58088,0.74675,1.1204,0,0.8776,0.83,0.8763,0.57784,0.85146,0.81,0.84744,0.54206,1.23322,1.98779,0.87584,1.23864,0,0.0012278,0.0012278,0.0012278
41,382.996,1.03466,1.56131,0.73797,1.09921,0,0.89835,0.8,0.89038,0.57521,0.89835,0.8,0.88708,0.55196,1.19868,1.96096,0.83456,1.21158,0,0.001208,0.001208,0.001208
42,393.266,1.00192,1.54932,0.69817,1.10118,0,0.93097,0.77,0.87741,0.5667,0.93097,0.77,0.87091,0.55213,1.21738,1.90391,0.8586,1.22843,0,0.0011882,0.0011882,0.0011882
43,401.26,1.0324,1.5372,0.71992,1.10055,0,0.89611,0.82,0.88475,0.57018,0.90816,0.83,0.88102,0.54564,1.2137,1.88549,0.85133,1.22499,0,0.0011684,0.0011684,0.0011684
44,411.323,0.99505,1.50899,0.70218,1.07277,0,0.90758,0.79,0.88197,0.55086,0.90758,0.79,0.8719,0.56972,1.25534,1.91591,0.85618,1.24559,0,0.0011486,0.0011486,0.0011486
45,421.736,0.97249,1.49615,0.69926,1.0833,0,0.91398,0.82,0.89303,0.58389,0.90283,0.81,0.88014,0.53796,1.15864,1.8973,0.82884,1.20589,0,0.0011288,0.0011288,0.0011288
46,429.747,0.96255,1.48077,0.67257,1.06454,0,0.85587,0.86,0.89486,0.60506,0.84592,0.85,0.86644,0.55716,1.19266,1.97034,0.81914,1.21713,0,0.001109,0.001109,0.001109
47,439.769,0.9432,1.47715,0.65605,1.04869,0,0.85513,0.82641,0.87506,0.57501,0.84478,0.81641,0.85701,0.55628,1.17796,1.81241,0.83991,1.18023,0,0.0010892,0.0010892,0.0010892
